date,spx,mar,hlt,hst,mgm,lvs,spxChange,marChange,hltChange,hstChange,mgmChange,lvsChange
"May 3, 2022","4,175.48",173.04,148.96,19.88,40.85,36.43,-0.126128577228796000000000000,0.048282546798328000000000000,-0.044822058352035800000000000,0.136649514008005000000000000,-0.093028419182948400000000000,-0.041820094687006900000000000
"May 4, 2022","4,300.17",181.24,151.39,20.13,41.03,37.06,-0.100032648687565000000000000,0.097958441873144800000000000,-0.029240141070856100000000000,0.150943396226415000000000000,-0.089031971580817000000000000,-0.025249868490268300000000000
"May 5, 2022","4,146.87",177.66,149.89,19.75,39.3,35.55,-0.132116262813564000000000000,0.076270673047797900000000000,-0.038858608528374500000000000,0.129216695254431000000000000,-0.127442273534636000000000000,-0.064965807469752900000000000
"May 6, 2022","4,123.34",172.52,143.48,20.24,38.31,34.29,-0.137040773187893000000000000,0.045132368086266500000000000,-0.079961526130169900000000000,0.157232704402516000000000000,-0.149422735346359000000000000,-0.098106259863230000000000000
"May 9, 2022","3,991.24",163.85,133.31,19.11,35.14,31.86,-0.164687514388444000000000000,-0.007390803901375170000000000,-0.145174735492145000000000000,0.092624356775300200000000000,-0.219804618117229000000000000,-0.162019989479222000000000000
"May 10, 2022","4,001.05",168.09,137.79,19.5,36.2,31.2,-0.162634414228131000000000000,0.018295268673896000000000000,-0.116447579352357000000000000,0.114922813036021000000000000,-0.196269982238011000000000000,-0.179379274066281000000000000
"May 11, 2022","3,935.18",166.96,134.51,19.29,35.07,30.33,-0.176420113265832000000000000,0.011449688011146900000000000,-0.137479961526130000000000000,0.102915951972556000000000000,-0.221358792184725000000000000,-0.202261967385587000000000000
"May 12, 2022","3,930.08",163.34,132.43,19.2,34.52,30.14,-0.177487474205444000000000000,-0.010480402253589300000000000,-0.150817569733889000000000000,0.097770154373928000000000000,-0.233570159857904000000000000,-0.207259337190952000000000000
"May 13, 2022","4,023.89",166.4,136.59,19.9,36.15,34.68,-0.157854311510337000000000000,0.008057187859695960000000000,-0.124142353318371000000000000,0.137793024585477000000000000,-0.197380106571936000000000000,-0.087848500789058500000000000
"May 16, 2022","4,008.01",162.33,132.85,20.18,35.07,33.37,-0.161177780475248000000000000,-0.016599018598170400000000000,-0.148124398845784000000000000,0.153802172670097000000000000,-0.221358792184725000000000000,-0.122304050499737000000000000
